timestamp,meterId,buildingId,buildingName,voltage,current,power,energy,frequency,powerFactor,temperature,occupancyLevel,weatherCondition,dayType,workingHours,scenario,status,simulationTime,simulationSpeed
2025-01-01 00:00:00,M001,B001,Academic Block,232.3,53.68,19.37,19.37,49.962,0.891,19.82,6.59,Sunny,Weekday,False,Normal,Normal,2025-01-01 00:00:00,1
2025-01-01 01:00:00,M001,B001,Academic Block,226.96,44.72,15.56,34.93,50.025,0.866,20.73,0.0,Sunny,Weekday,False,Normal,Normal,2025-01-01 01:00:00,1
2025-01-01 02:00:00,M001,B001,Academic Block,230.33,33.41,11.96,46.89,49.908,0.889,20.94,7.99,Sunny,Weekday,False,Normal,Normal,2025-01-01 02:00:00,1
2025-01-01 03:00:00,M001,B001,Academic Block,232.47,31.7,11.61,58.5,49.902,0.883,19.98,0.0,Cloudy,Weekday,False,Normal,Normal,2025-01-01 03:00:00,1
2025-01-01 04:00:00,M001,B001,Academic Block,229.1,38.65,13.48,71.98,49.882,0.873,21.42,9.41,Cloudy,Weekday,False,Normal,Normal,2025-01-01 04:00:00,1
2025-01-01 05:00:00,M001,B001,Academic Block,227.97,44.77,15.61,87.59,50.049,0.895,25.39,0.0,Sunny,Weekday,False,Normal,Normal,2025-01-01 05:00:00,1
2025-01-01 06:00:00,M001,B001,Academic Block,232.93,41.0,14.77,102.36,49.962,0.878,20.91,1.88,Rainy,Weekday,False,Normal,Normal,2025-01-01 06:00:00,1
2025-01-01 07:00:00,M001,B001,Academic Block,231.08,49.03,17.06,119.42,49.948,0.889,22.75,9.17,Cloudy,Weekday,False,Normal,Normal,2025-01-01 07:00:00,1
2025-01-01 08:00:00,M001,B001,Academic Block,229.1,199.59,68.78,188.2,50.007,0.866,27.2,38.43,Rainy,Weekday,True,Normal,Normal,2025-01-01 08:00:00,1
2025-01-01 09:00:00,M001,B001,Academic Block,227.57,213.14,76.08,264.28,49.96,0.91,28.41,40.79,Sunny,Weekday,True,Normal,Normal,2025-01-01 09:00:00,1
2025-01-01 10:00:00,M001,B001,Academic Block,229.02,229.9,80.01,344.29,49.969,0.881,26.27,58.16,Rainy,Weekday,True,Normal,Normal,2025-01-01 10:00:00,1
2025-01-01 11:00:00,M001,B001,Academic Block,228.97,171.83,59.64,403.93,49.936,0.88,29.33,7.21,Sunny,Weekday,True,Normal,Normal,2025-01-01 11:00:00,1
2025-01-01 12:00:00,M001,B001,Academic Block,229.92,246.18,93.31,497.24,50.005,0.949,26.02,80.27,Cloudy,Weekday,True,Normal,Normal,2025-01-01 12:00:00,1
2025-01-01 13:00:00,M001,B001,Academic Block,233.43,251.63,94.51,591.76,50.06,0.916,29.38,61.12,Sunny,Weekday,True,Normal,Normal,2025-01-01 13:00:00,1
2025-01-01 14:00:00,M001,B001,Academic Block,228.3,289.99,106.13,697.89,50.008,0.904,30.31,80.06,Sunny,Weekday,True,Normal,Normal,2025-01-01 14:00:00,1
2025-01-01 15:00:00,M001,B001,Academic Block,227.65,241.86,89.2,787.09,49.974,0.918,26.07,64.65,Cloudy,Weekday,True,Normal,Normal,2025-01-01 15:00:00,1
2025-01-01 16:00:00,M001,B001,Academic Block,232.35,305.25,109.48,896.57,49.901,0.898,24.79,95.0,Rainy,Weekday,True,Normal,Normal,2025-01-01 16:00:00,1
2025-01-01 17:00:00,M001,B001,Academic Block,230.88,247.03,91.66,988.22,49.943,0.934,22.55,66.12,Rainy,Weekday,True,Normal,Normal,2025-01-01 17:00:00,1
2025-01-01 18:00:00,M001,B001,Academic Block,227.54,67.96,23.45,1011.67,50.077,0.886,24.04,0.23,Cloudy,Weekday,False,Normal,Normal,2025-01-01 18:00:00,1
2025-01-01 19:00:00,M001,B001,Academic Block,229.77,60.14,20.9,1032.58,50.027,0.884,26.4,0.0,Sunny,Weekday,False,Normal,Normal,2025-01-01 19:00:00,1
2025-01-01 20:00:00,M001,B001,Academic Block,227.43,59.79,21.02,1053.59,49.914,0.889,22.44,5.47,Rainy,Weekday,False,Normal,Normal,2025-01-01 20:00:00,1
2025-01-01 21:00:00,M001,B001,Academic Block,227.46,58.32,19.85,1073.44,49.879,0.875,23.18,4.38,Sunny,Weekday,False,Normal,Normal,2025-01-01 21:00:00,1
2025-01-01 22:00:00,M001,B001,Academic Block,230.46,40.66,13.96,1087.41,50.005,0.865,22.54,5.46,Sunny,Weekday,False,Normal,Normal,2025-01-01 22:00:00,1
